name;firstname;username;email;roles;groups
testperfs.learner.1601;testperfs.learner.1601;testperfs.learner.1601;testperfs.learner.1601@noemail.net;Learner;testperfs.learners
testperfs.learner.1602;testperfs.learner.1602;testperfs.learner.1602;testperfs.learner.1602@noemail.net;Learner;testperfs.learners
testperfs.learner.1603;testperfs.learner.1603;testperfs.learner.1603;testperfs.learner.1603@noemail.net;Learner;testperfs.learners
testperfs.learner.1604;testperfs.learner.1604;testperfs.learner.1604;testperfs.learner.1604@noemail.net;Learner;testperfs.learners
testperfs.learner.1605;testperfs.learner.1605;testperfs.learner.1605;testperfs.learner.1605@noemail.net;Learner;testperfs.learners
testperfs.learner.1606;testperfs.learner.1606;testperfs.learner.1606;testperfs.learner.1606@noemail.net;Learner;testperfs.learners
testperfs.learner.1607;testperfs.learner.1607;testperfs.learner.1607;testperfs.learner.1607@noemail.net;Learner;testperfs.learners
testperfs.learner.1608;testperfs.learner.1608;testperfs.learner.1608;testperfs.learner.1608@noemail.net;Learner;testperfs.learners
testperfs.learner.1609;testperfs.learner.1609;testperfs.learner.1609;testperfs.learner.1609@noemail.net;Learner;testperfs.learners
testperfs.learner.1610;testperfs.learner.1610;testperfs.learner.1610;testperfs.learner.1610@noemail.net;Learner;testperfs.learners
testperfs.learner.1611;testperfs.learner.1611;testperfs.learner.1611;testperfs.learner.1611@noemail.net;Learner;testperfs.learners
testperfs.learner.1612;testperfs.learner.1612;testperfs.learner.1612;testperfs.learner.1612@noemail.net;Learner;testperfs.learners
testperfs.learner.1613;testperfs.learner.1613;testperfs.learner.1613;testperfs.learner.1613@noemail.net;Learner;testperfs.learners
testperfs.learner.1614;testperfs.learner.1614;testperfs.learner.1614;testperfs.learner.1614@noemail.net;Learner;testperfs.learners
testperfs.learner.1615;testperfs.learner.1615;testperfs.learner.1615;testperfs.learner.1615@noemail.net;Learner;testperfs.learners
testperfs.learner.1616;testperfs.learner.1616;testperfs.learner.1616;testperfs.learner.1616@noemail.net;Learner;testperfs.learners
