name;firstname;username;email;roles;groups
testperfs.learner.1701;testperfs.learner.1701;testperfs.learner.1701;testperfs.learner.1701@noemail.net;Learner;testperfs.learners
testperfs.learner.1702;testperfs.learner.1702;testperfs.learner.1702;testperfs.learner.1702@noemail.net;Learner;testperfs.learners
testperfs.learner.1703;testperfs.learner.1703;testperfs.learner.1703;testperfs.learner.1703@noemail.net;Learner;testperfs.learners
testperfs.learner.1704;testperfs.learner.1704;testperfs.learner.1704;testperfs.learner.1704@noemail.net;Learner;testperfs.learners
testperfs.learner.1705;testperfs.learner.1705;testperfs.learner.1705;testperfs.learner.1705@noemail.net;Learner;testperfs.learners
testperfs.learner.1706;testperfs.learner.1706;testperfs.learner.1706;testperfs.learner.1706@noemail.net;Learner;testperfs.learners
testperfs.learner.1707;testperfs.learner.1707;testperfs.learner.1707;testperfs.learner.1707@noemail.net;Learner;testperfs.learners
testperfs.learner.1708;testperfs.learner.1708;testperfs.learner.1708;testperfs.learner.1708@noemail.net;Learner;testperfs.learners
testperfs.learner.1709;testperfs.learner.1709;testperfs.learner.1709;testperfs.learner.1709@noemail.net;Learner;testperfs.learners
testperfs.learner.1710;testperfs.learner.1710;testperfs.learner.1710;testperfs.learner.1710@noemail.net;Learner;testperfs.learners
testperfs.learner.1711;testperfs.learner.1711;testperfs.learner.1711;testperfs.learner.1711@noemail.net;Learner;testperfs.learners
testperfs.learner.1712;testperfs.learner.1712;testperfs.learner.1712;testperfs.learner.1712@noemail.net;Learner;testperfs.learners
testperfs.learner.1713;testperfs.learner.1713;testperfs.learner.1713;testperfs.learner.1713@noemail.net;Learner;testperfs.learners
testperfs.learner.1714;testperfs.learner.1714;testperfs.learner.1714;testperfs.learner.1714@noemail.net;Learner;testperfs.learners
testperfs.learner.1715;testperfs.learner.1715;testperfs.learner.1715;testperfs.learner.1715@noemail.net;Learner;testperfs.learners
testperfs.learner.1716;testperfs.learner.1716;testperfs.learner.1716;testperfs.learner.1716@noemail.net;Learner;testperfs.learners
testperfs.learner.1717;testperfs.learner.1717;testperfs.learner.1717;testperfs.learner.1717@noemail.net;Learner;testperfs.learners
testperfs.learner.1718;testperfs.learner.1718;testperfs.learner.1718;testperfs.learner.1718@noemail.net;Learner;testperfs.learners
testperfs.learner.1719;testperfs.learner.1719;testperfs.learner.1719;testperfs.learner.1719@noemail.net;Learner;testperfs.learners
testperfs.learner.1720;testperfs.learner.1720;testperfs.learner.1720;testperfs.learner.1720@noemail.net;Learner;testperfs.learners
